exchange,stockCode,stockSymbol,companyName
BSE,500002,ABB,ABB
BSE,533022,20MICRONS,20 Microns
BSE,526921,21STCENMGM,21st Century Management Services
BSE,542772,360ONE,360 One WAM
BSE,532628,3IINFOTECH,3I Infotech
BSE,523395,3MINDIA,3M India
BSE,516092,3PLAND,3P Land Holdings
BSE,540776,5PAISA,5Paisa Capital
BSE,526881,63MOONS,63 Moons Technologies
BSE,540615,7NR,7NR Retail
BSE,540874,7SEASL,7SEAS ENTERTAINMENT LIMIT
BSE,542012,AAL,A1 Acid
BSE,533292,A2ZINFRA,A2Z Infra Engineering
BSE,543319,AAPLUSTRAD,AA Plus Tradelink Limited
BSE,543671,AAATECH,AAA Technologies
BSE,530027,AADIIND,Aadi Industries
BSE,539096,AANANDALAK,Aananda Lakshmi Spinning
BSE,538812,AANCHALISP,Aanchal Ispat
BSE,542377,AARSHYAM,Aar Shyam India Investment
BSE,524412,AREYDRG,Aarey Drugs & Pharmaceuticals
BSE,539562,AARNAV,Aarnav Fashions
BSE,542580,AARTECH,Aartech Solonics
BSE,524348,AARTIDRUGS,Aarti Drugs
BSE,524208,AARTIIND,Aarti Industries
BSE,543748,AARTIPHARM,Aarti Pharma Labs
BSE,543210,AARTISURF,Aarti Surfactants
BSE,700135,AARTISURFP,Aarti Surfactants - Pref Shr
BSE,890180,AARTIPP,Aarti Surfactants Limited
BSE,514274,AARVEEDEN,Aarvee Denims & Exports
BSE,543346,AASHKA,Aashka Hospitals Limited
BSE,511764,AASTAFIN,Aastamangalam Finance
BSE,512038,TCC,Aaswa Trading & Exports
BSE,541988,AAVAS,Aavas Financiers
BSE,539528,AAYUSH,Aayush Food and Herbs
BSE,523204,ABAN,Aban Offshore
BSE,512165,ABANSENT,ABans Enterprises
BSE,543712,AHL,Abans Holdings
BSE,500488,ABBOTINDIA,Abbott India
BSE,513119,ABCGAS,ABC Gas International
BSE,520123,ABCINDQ,ABC India
BSE,539560,ABHIJIT,Abhijit Trading Company
BSE,532057,ABHICAP,Abhinav Capital Services
BSE,538952,ALFL,Abhinav Leasing & Finance
BSE,538935,ABHIFIN,Abhishek Finlease
BSE,539544,ABHIINFRA,Abhishek Infraventures
BSE,511756,ABIRAFN,Abirami Financial
BSE,531161,ABMKNO,ABM Knowledgeware
BSE,533408,BSLGOLDETF,ABSL Gold ETF
BSE,540008,BSLSENETFG,ABSL Sensex ETF
BSE,500410,ACC,ACC
BSE,531533,ACCEDERE,Accedere
BSE,517494,ACCEL,Accel
BSE,543938,ACCELERATE,AccelerateBS India
BSE,532268,ACCELYA,Accelya Solutions India
BSE,530669,ACEENGITEC,Ace Engitech
BSE,539661,ACEMEN,Ace Men Engg Works
BSE,531525,ACESOFT,Ace Software Exports
BSE,543499,ACHYUT,Achyut Healthcare
BSE,517356,ACIIN,ACI Infocom
BSE,530043,ACKNIT,Acknit Industries
BSE,539391,ACME,Acme Resources
BSE,513149,ACROW,Acrow India
BSE,532762,ACE,Action Construction Equipment
BSE,541144,ACTIVE,Active Clothing Co
BSE,511359,ADMANUM,Ad-Manum Finance
BSE,512599,ADANIENT,Adani Enterprises
BSE,541450,ADANIGREEN,Adani Green Energy
BSE,532921,ADANIPORTS,Adani Ports & SEZ
BSE,533096,ADANIPOWER,Adani Power
BSE,542066,ATGL,Adani Total Gas
BSE,539254,ADANITRANS,Adani Transmission
BSE,543458,AWL,Adani Wilmar
BSE,538563,ADARSH,Adarsh Mercantile
BSE,526711,ADARSHPL,Adarsh Plant Protect
BSE,523411,ADCINDIA,ADC India Communications
BSE,539506,ADCON,Adcon Capital Services
BSE,890179,ADCONPP,Adcon Capital Services Li
BSE,541865,ASRL,Add Shop e-Retail
BSE,507852,ADDIND,Addi Industries
BSE,543309,ADESHWAR,Adeshwar Meditex Limited
BSE,519183,ADFFOODS,ADF Foods
BSE,539189,ADHBHUTIN,Adhbhut Infrastructure Lt
BSE,532056,ADIEXRE,Adinath Exim Resources
BSE,514113,ADINATH,Adinath Textiles
BSE,543377,ADISHAKTI,Adishakti Loha and Ispat 
BSE,540691,ABCAPITAL,Aditya Birla Capital
BSE,535755,ABFRL,Aditya Birla Fashion
BSE,532974,BIRLAMONEY,Aditya Birla Money
BSE,543374,ABSLAMC,Aditya Birla Sun Life AMC
BSE,542863,ABSLBANETF,Aditya Birla Sun Life Banking ETF
BSE,543471,SILVER,Aditya Birla Sun Life Mut
BSE,543472,TECH,Aditya Birla Sun Life Mut
BSE,543473,HEALTHY,Aditya Birla Sun Life Mut
BSE,543474,BSLNIFTY,Aditya Birla Sun Life Mut
BSE,543574,NIFTYQLITY,Aditya Birla Sun Life Mut
BSE,543575,MOMENTUM,Aditya Birla Sun Life Mut
BSE,543813,ABSLLIQUID,Aditya Birla Sun Life Mut
BSE,542230,ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF
BSE,540146,ACML,Aditya Consumer Marketing
BSE,513513,ADITYA,Aditya Ispat
BSE,521141,ADITYASP,Aditya Spinners
BSE,540205,AVL,Aditya Vision
BSE,543269,ADJIA,Adjia Technologies
BSE,524604,ADLINE,Adline Chem Lab
BSE,530431,ADORFO,Ador Fontech
BSE,523120,ADORMUL,Ador Multiproducts
BSE,517041,ADORWELD,Ador Welding
BSE,532172,ADROITINFO,Adroit Infotech
BSE,523031,ADSDIAG,ADS Diagnostic
BSE,543230,ADVAIT,Advait Infratech
BSE,521048,ADVLIFE,Advance Lifestyles
BSE,534612,AMTL,Advance Metering Tech
BSE,540025,ADVENZYMES,Advanced Enzyme Tech
BSE,506947,ADVPETR-B,Advanced Petrochemicals
BSE,523269,ADVANIHOTR,Advani Hotels & Resorts
BSE,539773,ADVIKCA,Advik Capital
BSE,500003,AEGISLOG,Aegis Logistics
BSE,534733,AERPACE,Aerpace Industries
BSE,543534,AETHER,Aether Industries
BSE,538351,AFEL,AF Enterprises
BSE,542752,AFFLE,Affle India
BSE,541402,AFFORDABLE,Affordable Robotic Automation
BSE,530765,AGARWAL,Agarwal Fortune India
BSE,531921,AGARIND,Agarwal Industrial Corporation
BSE,500187,AGI,AGI Greenpac
BSE,539042,AGIIL,AGI Infra
BSE,516020,AGIOPAPER,Agio Paper & Industries
BSE,537292,AGRITECH,Agri-Tech India
BSE,500215,ATFL,Agro Tech Foods
BSE,543451,AGSTRA,AGS Transact Technologies
BSE,543941,AHASOLAR,Ahasolar Technologies
BSE,532811,AHLUCONT,Ahluwalia Contracts
BSE,522273,AHMDSTE,Ahmedabad Steelcraft
BSE,532806,AICHAMP,AI Champdany Industries
BSE,532683,AIAENG,AIA Engineering
BSE,524288,AIMCOPEST,Aimco Pesticides
BSE,543811,AIRAN,AIRAN LIMITED
BSE,532331,AJANTPHARM,Ajanta Pharma
BSE,519216,AJANTSOY,Ajanta Soya
BSE,511692,AJCON,Ajcon Global Services
BSE,530713,AJEL,Ajel
BSE,513349,AJMERA,Ajmera Realty & Infra India
BSE,526628,AJWAFUN,Ajwa Fun World and Resort
BSE,530499,AKCAPIT,AK Capital Services
BSE,539300,AKSPINTEX,AK Spintex
BSE,530621,AAIL,Akar Auto Industries
BSE,542020,AKI,AKI India
BSE,540718,AKM,AKM Creations
BSE,532351,AKSHOPTFBR,Aksh Optifibre
BSE,541303,AKSHAR,Akshar Spintex
BSE,524598,AKSCHEM,AksharChem India
BSE,500710,AKZOINDIA,Akzo Nobel India
BSE,535916,ALSL,Alacrity Securities
BSE,539115,ALAN SCOTT,Alan Scott Industries
BSE,890188,ALANPP,Alan Scott Industries Ltd
BSE,531082,ALANKIT,Alankit
BSE,524075,ALBERTDA,Albert David
BSE,531409,ALCHCORP,Alchemist Corporation
BSE,506235,ALEMBICLTD,Alembic
BSE,533573,APLLTD,Alembic Pharmaceuticals
BSE,511463,ALEXANDER,Alexander Stamps and Coin
BSE,530973,ALFAICA,Alfa ICA India
BSE,517546,ALFATRAN,Alfa Transformers
BSE,531156,ALFAVIO,Alfavision Overseas
BSE,505216,ALFREDHE,Alfred Herbert
BSE,531147,ALICON,Alicon Castalloy
BSE,533029,ALKALI,Alkali Metals
BSE,539523,ALKEM,Alkem Laboratories
BSE,543453,ALKOSIGN,Alkosign
BSE,506767,ALKYLAMINE,Alkyl Amines Chemicals
BSE,532749,ALLCARGO,Allcargo Logistics
BSE,534064,AIML,Alliance Integrated Metaliks
BSE,532875,ADSL,Allied Digital Services
BSE,532633,ALLSEC,Allsec Technologies
BSE,531400,ALMONDZ,Almondz Global Securities
BSE,506120,ALNATRD,Alna Trading & Exports
BSE,521070,ALOKTEXT,Alok Industries
BSE,532878,ALPA,Alpa Laboratories
BSE,526397,ALPHAGEO,Alphageo India
BSE,543937,ALPHAIND,Alphalogic Industries
BSE,542770,ALPHALOGIC,Alphalogic Techsys
BSE,526519,ALPINEHOU,Alpine Housing Development
BSE,530715,ALPSINDUS,Alps Industries
BSE,539277,ALSTONE,Alstone Textiles
BSE,524634,ALUFLUOR,Aluflouride
BSE,506597,AMAL,AMAL
BSE,501622,AMALGAM,Amalgamated Electricity
BSE,543804,AMANAYA,Amanaya Ventures
BSE,500008,AMARAJABAT,Amara Raja Batteries
BSE,521097,AMARJOTHI,Amarjothi Spinning Mills
BSE,538465,AMARSEC,AMARNATH SECURITIES LTD
BSE,539196,AEL,Amba Enterprises
BSE,500009,AMBALALSA,Ambalal Sarabhai Enterprises
BSE,519471,AMBARPIL,Ambar Protein Industries
BSE,542524,AIHL,Ambassador Intra Holdings
BSE,540902,AMBER,Amber Enterprises India
BSE,532335,AMBICAAGAR,Ambica Agarbathies
BSE,531978,AMBIKCO,Ambika Cotton Mill
BSE,526439,AMBIT,AMBITIOUS PLASTOMAC COMPA
BSE,543678,AMBOAGRI,AMBO Agritec
BSE,500425,AMBUJACEM,Ambuja Cements
BSE,530133,AMCOIND,Amco India
BSE,532828,AMDIND,Amd Industries
BSE,531681,AMERISE,Amerise Biosciences
BSE,513117,AMFORG,Amforge Industries
BSE,543349,AMIORG,Ami Organics Limited
BSE,541771,AMINTAN,Amin Tannery
BSE,506248,AMNPLST,Amines & Plasticizers
BSE,531300,AMITINT,Amit International
BSE,500343,AMJLAND,AMJ Land Holdings
BSE,536737,ACFSL,Amrapali Capital and Finance Services
BSE,539265,AMRAFIN,Amrapali Fincap
BSE,526241,AMRAPLIN,Amrapali Industries
BSE,531991,AMRAAGRI,Amraworld Agrico
BSE,590006,AMRUTANJAN,Amrutanjan Health Care
BSE,540066,AMS,Ams Polymers
BSE,501630,ANANDPROJ,Anand Projects
BSE,543415,ANANDRATHI,Anand Rathi Wealth
BSE,542721,ARL,Anand Rayons
BSE,543249,TARC,Anant Raj Global
BSE,515055,ANANTRAJ,Anant Raj Industries
BSE,532141,ACL,Andhra Cements
BSE,502330,ANDHRAPAP,Andhra Paper
BSE,500012,ANDHRAPET,Andhra Petrochemicals
BSE,590062,ANDHRSUGAR,Andhra Sugars
BSE,526173,ANDREWYU,Andrew Yule and Company
BSE,540694,ANG,ANG Lifesciences India
BSE,541006,ANGEL,Angel Fibers
BSE,543235,ANGELONE,Angel One
BSE,519383,ANIKINDS,Anik Industries
BSE,531878,ANJANIFIN,Anjani Finance
BSE,511153,ANJANIFOODS,Anjani Foods
BSE,518091,APCL,Anjani Portland Cement
BSE,531223,ANJANI,Anjani Synthetics
BSE,531673,ANKIN,Anka India
BSE,542437,ANMOL,Anmol India
BSE,530799,ANNAINFRA,Anna Infrastructures
BSE,531406,ANSINDUS,ANS Industries
BSE,523007,ANSALBU,Ansal Buildwell
BSE,507828,ANSALHSG,Ansal Housing & Construction
BSE,500013,ANSALAPI,Ansal Properties and Infrastructure
BSE,512091,ANSHNCO,Anshuni Commercials
BSE,501270,ANTARIKSH,Antariksh Industries
BSE,543254,AWHCL,Antony Waste Handling Cell
BSE,538833,ANUBHAV,Anubhav Infrastructure
BSE,506260,ANUHPHR,Anuh Pharma
BSE,530109,ANUPAM,Anupam Finserv
BSE,543275,ANURAS,Anupam Rasayan India
BSE,542865,ANUROOP,Anuroop Packaging
BSE,543655,ANZEN,Anzen India Energy Yield 
BSE,532259,APARINDS,Apar Industries
BSE,523694,APCOTEXIND,Apcotex Industries
BSE,541133,ACFL,Apex Capital and Finance
BSE,540692,APEX,Apex Frozen Foods
BSE,506166,APIS,Apis India
BSE,533758,APLAPOLLO,APL Apollo Tubes
BSE,517096,APLAB,Aplab
BSE,523537,APMIN,Apm Industries
BSE,512437,APOLLOFI,Apollo Finvest India
BSE,508869,APOLLOHOSP,Apollo Hospitals
BSE,540879,APOLLO,Apollo Micro Systems
BSE,531761,APOLLOPIPES,Apollo Pipes
BSE,500877,APOLLOTYRE,Apollo Tyres
BSE,539545,APOORVA,Apoorva Leasing Finance
BSE,506979,APTPACK,APT PACKAGING LTD.
BSE,532475,APTECHT,Aptech
BSE,543335,APTUS,Aptus Value Housing Finance India
BSE,512344,ARAVALIS,Aravali Securities & Finance
BSE,540135,ARCFIN,ARC Finance
BSE,520121,ARCEEIN,Arcee Industries
BSE,530565,SSLFINANCE,Archana Software
BSE,543657,ACI,Archean Chemical Industries
BSE,532994,ARCHIDPLY,Archidply
BSE,543231,ADL,Archidply Decor
BSE,532212,ARCHIES,Archies
BSE,524640,ARCHITORG,Archit Organosys
BSE,526851,AREXMIS,Arex Industries
BSE,539151,ARFIN,Arfin India
BSE,532935,ARIES,Aries Agro
BSE,511605,ARIHCAPM,Arihant Capital Markets
BSE,531381,ARIHANT,Arihant Foundations & Housing
BSE,506194,ASL,Arihant Superstructures
BSE,531017,ARISE,Arihant's Securities
BSE,531677,ARISINT,Aris International
BSE,531179,ARMANFIN,Arman Financial Services
BSE,538556,ARMAN,Arman Holdings
BSE,537069,ARNOLD,Arnold Holdings
BSE,513729,AROGRANITE,Aro Granite Industries
BSE,516064,ARROWGREEN,Arrow Greentech
BSE,506074,ARSHIYA,Arshiya
BSE,533163,ARSSINFRA,ARSS Infrastructure Projects
BSE,531297,ARTEFACT,Artefact Projects
BSE,542670,AEPL,Artemis Electricals
BSE,542919,ARTEMISMED,Artemis Medicare Services
BSE,522134,ARTSONEN,Artson Engineering
BSE,500016,ARUNAHTEL,Aruna Hotels
BSE,526935,ARUNIS,Arunis Abode
BSE,530881,ABVL,Arunjyothi Bio Ventures
BSE,500101,ARVIND,Arvind
BSE,542484,ARVINDFASN,Arvind Fashions
BSE,539301,ARVSMART,Arvind SmartSpaces
BSE,538716,ARYACAPM,Aryaman Capital Markets
BSE,530245,ARYAMAN,Aryaman Financial Services
BSE,542176,ARYAN,Aryan Share And Stock Brokers
BSE,515030,ASAHIINDIA,Asahi India Glass
BSE,532853,ASAHISONG,Asahi Songwon Colors
BSE,543943,ASARFI,Asarfi Hospital
BSE,543443,ASCENSIVE,Ascensive Educare Limited
BSE,527001,ASHAPURMIN,Ashapura Minechem
BSE,542579,AGOL,Ashapuri Gold Ornament
BSE,519174,ASHAI,Ashiana Agro Industries
BSE,523716,ASHIANA,Ashiana Housing
BSE,513401,ASHIS,Ashiana Ispat
BSE,543766,ASHIKA,Ashika Credit Capital Ltd
BSE,514286,ASHIMASYN,Ashima
BSE,512247,ASHCAP,Ashirwad Capital
BSE,526847,ASHSI,Ashirwad Steels & Industries
BSE,530429,ASHISHPO,Ashish Polyplast
BSE,541702,ASHNI,Ashnisha Industries
BSE,507872,ASHNOOR,Ashnoor Textile Mills
BSE,524594,ASHOKALC,Ashok Alco-Chem
BSE,500477,ASHOKLEY,Ashok Leyland
BSE,533271,ASHOKA,Ashoka Buildcon
BSE,540923,ASHOKAMET,Ashoka Metcast
BSE,526983,ASHOKRE,Ashoka Refineries
BSE,526187,ASHRAM,Ashram Online.Com
BSE,502015,ASIIL,ASI Industries
BSE,538777,ASIACAP,Asia Capital
BSE,530899,ASIAPAK,Asia Pack
BSE,530355,ASIANENE,Asian Energy Services
BSE,531392,ASFLORA,ASIAN FLORA
BSE,507530,ASIFOOD,ASIAN FOOD PRODUCTS LTD.
BSE,532888,ASIANTILES,Asian Granito India
BSE,533227,AHLEAST,Asian Hotels (East)
BSE,500023,ASIANHOTNR,Asian Hotels (North)
BSE,500820,ASIANPAINT,Asian Paints
BSE,524434,ASINPET,Asian Petroproducts & Exports
BSE,531847,ASTAR,Asian Star
BSE,519532,ASIANTNE,Asian Tea & Exports
BSE,543927,ASIAN,Asian Warehousing Limited
BSE,530723,ASITCFIN,Asit C Mehta Financial Services
BSE,526433,ASMTEC,ASM Technologies
BSE,540788,ASPIRA,Aspira Pathlab
BSE,542911,ASSAMENT,Assam Entrade
BSE,507526,ASALCBR,Associated Alcohols & Breweries
BSE,531168,ASSOCER,ASSOCIATED CERAMICS LTD.
BSE,533138,ASTEC,Astec Lifesciences
BSE,540975,ASTERDM,Aster DM Healthcare
BSE,532493,ASTRAMICRO,Astra Microwave Products
BSE,532830,ASTRAL,Astral
BSE,506820,ASTRAZEN,AstraZeneca Pharma India
BSE,540824,ASTRON,Astron Paper and Board Mill
BSE,512433,ASUTENT,Asutosh Enterprises
BSE,543911,ATALREAL,Atal Realtech Limited
BSE,543236,ATAM,Atam Valves
BSE,530187,ATHARVENT,Atharv Enterprises
BSE,539099,ATHCON,Athena Constructions
BSE,517429,ATHENAGLO,Athena Global Technologies
BSE,538713,ATISHAY,Atishay
BSE,532759,ATLANTA,Atlanta
BSE,500027,ATUL,ATUL
BSE,531795,ATULAUTO,Atul Auto
BSE,500028,ATVPR,Atv Projects India
BSE,540611,AUBANK,AU Small Finance Bank
BSE,532668,AURIONPRO,Aurionpro Solutions
BSE,530233,AUROLAB,Auro Laboratories
BSE,524804,AUROPHARMA,Aurobindo Pharma
BSE,539289,AURUM,Aurum PropTech
BSE,890168,AURUMPP,Aurum PropTech Limited
BSE,509009,AUSOMENT,AuSom Enterprise
BSE,522005,AUSTENG,Austin Engineering Company
BSE,539177,AIIL,Authum Inv & Infr
BSE,531994,AUTOPINS,Auto Pins India
BSE,532797,AUTOIND,Autoline Industries
BSE,505036,ACGL,Automobile Corporation of Goa
BSE,505010,AUTOAXLES,Automotive Axles
BSE,520119,ASAL,Automotive Stampings & Assemblies
BSE,512277,AUTOINT,Autoriders International
BSE,540649,AVADHSUGAR,Avadh Sugar & Energy
BSE,531310,AVAILFC,Available Finance
BSE,543896,AVALON,Avalon Technologies
BSE,512149,AVANCE,AVANCE TECHNOLOGIES LTD.
BSE,532406,AVANTEL,Avantel
BSE,512573,AVANTI,Avanti Feeds
BSE,543737,AVEER,Aveer Foods Limited
BSE,540376,DMART,Avenue Supermarts DMart
BSE,543910,AVG,AVG Logistics
BSE,539288,AVI,AVI Polymers
BSE,523896,APIL,AVI Products India
BSE,511589,AVONMORE,Avonmore Capital & Management Services
BSE,543512,AVROIND,Avro India
BSE,519105,AVTNPL,Avt Natural Products
BSE,513642,AXELPOLY,Axel Polymers
BSE,532215,AXISBANK,Axis Bank
BSE,533570,AXISGOLD,Axis Gold ETF
BSE,543347,AXISTECETF,Axis Mutual Fund
BSE,543348,AXISHETF,Axis Mutual Fund
BSE,543357,AXISCETF,Axis Mutual Fund
BSE,543800,AXISWRDG,Axis Mutual Fund
BSE,543801,AXISWRGP,Axis Mutual Fund
BSE,543802,AXISWRQD,Axis Mutual Fund
BSE,543803,AXISWRHD,Axis Mutual Fund
BSE,543832,AXISWSDG,Axis Mutual Fund
BSE,543833,AXISWSDQ,Axis Mutual Fund
