exchange,stockCode,stockSymbol,companyName
NSE,12841,11NSETEST,11NSETEST
NSE,16925,20MICRONS,20 Microns
NSE,4,21STCENMGM,21st Century Management Services
NSE,13061,360ONE,360 One WAM
NSE,6232,3IINFOLTD,3I Infotech
NSE,474,3MINDIA,3M India
NSE,9048,3PLAND,3P Land Holdings
NSE,5621,3RDROCK,3rd Rock Multimedia
NSE,445,5PAISA,5Paisa Capital
NSE,11868,63MOONS,63 Moons Technologies
NSE,7787,ABCOTS,A B COTSPIN INDIA LIMITED
NSE,11022,ABINFRA,A B Infrabuild
NSE,20910,A2ZINFRA,A2Z Infra Engineering
NSE,12533,AAATECH,AAA Technologies
NSE,240,AAKASH,Aakash Exploration Services
NSE,5245,AAREYDRUGS,Aarey Drugs & Pharmaceuticals
NSE,1036,AARON,Aaron Industries
NSE,17145,AARTECH,Aartech Solonics
NSE,4481,AARTIDRUGS,Aarti Drugs
NSE,7,AARTIIND,Aarti Industries
NSE,13868,AARTIPHARM,Aarti Pharma Labs
NSE,19233,AARTISURF,Aarti Surfactants
NSE,12121,AARTISURF,Aarti Surfactants - Pref Shr
NSE,14256,AARTIPP,AARTISURF RS.4 PPD UP
NSE,13771,AARVEEDEN,Aarvee Denims & Exports
NSE,19073,AARVI,Aarvi Encon
NSE,16961,AATMAJ,Aatmaj Healthcare
NSE,5385,AAVAS,Aavas Financiers
NSE,10,ABAN,Aban Offshore
NSE,13288,AHL,Abans Holdings
NSE,13,ABB,ABB
NSE,17903,ABBOTINDIA,Abbott India
NSE,4626,AILIMITED,Abhishek Integrations
NSE,5551,ABMINTLLTD,ABM International
NSE,8588,ABNINT,ABN Intercorp
NSE,22,ACC,ACC
NSE,7053,ACCELYA,Accelya Solutions India
NSE,21217,ACCORD,Accord Synergy
NSE,1472,ACCURACY,Accuracy Shipping
NSE,11784,ACEINTEG,Ace Integrated Solutions
NSE,13587,ACE,Action Construction Equipment
NSE,25,ADANIENT,Adani Enterprises
NSE,3563,ADANIGREEN,Adani Green Energy
NSE,15083,ADANIPORTS,Adani Ports & SEZ
NSE,17388,ADANIPOWER,Adani Power
NSE,6066,ATGL,Adani Total Gas
NSE,10217,ADANITRANS,Adani Transmission
NSE,8110,AWL,Adani Wilmar
NSE,19761,ADFFOODS,ADF Foods
NSE,21614,ABCAPITAL,Aditya Birla Capital
NSE,11498,ABFRL,ADITYA BIRLA FAS & RT LTD
NSE,30108,ABFRL,Aditya Birla Fashion
NSE,15239,BIRLAMONEY,Aditya Birla Money
NSE,6018,ABSLAMC,Aditya Birla Sun Life AMC
NSE,34,ADORWELD,Ador Welding
NSE,8644,ADROITINFO,Adroit Infotech
NSE,18039,ADVENZYMES,Advanced Enzyme Tech
NSE,14745,ADVANIHOTR,Advani Hotels & Resorts
NSE,40,AEGISCHEM,Aegis Logistics
NSE,9810,AETHER,Aether Industries
NSE,11343,AFFLE,Affle India
NSE,15147,AGUL,AG Universal
NSE,14263,AGARWALFT,Agarwal Float Glass
NSE,3389,AGARIND,Agarwal Industrial Corporation
NSE,1412,AGI,AGI Greenpac
NSE,10491,AGNI,Agni Green Power
NSE,11072,AGRITECH,Agri-Tech India
NSE,9046,AGROPHOS,Agro Phos India
NSE,1663,ATFL,Agro Tech Foods
NSE,7927,AGSTRA,AGS Transact Technologies
NSE,10769,AHIMSA,Ahimsa Industries
NSE,2004,AHLADA,Ahlada Engineers
NSE,17833,AHLUCONT,Ahluwalia Contracts
NSE,13086,AIAENG,AIA Engineering
NSE,9897,AIRAN,Airan
NSE,6068,AIROLAM,AIRO LAM LIMITED
NSE,8124,AJANTPHARM,Ajanta Pharma
NSE,17307,AJMERA,Ajmera Realty & Infra India
NSE,3409,AJOONI,Ajooni Biotech
NSE,13550,AKASH,Akash Infra Projects
NSE,2182,AKG,AKG Exim
NSE,14895,AKI,AKI India
NSE,8591,AKSHOPTFBR,Aksh Optifibre
NSE,9560,AKSHAR,Akshar Spintex
NSE,20178,AKSHARCHEM,AksharChem India
NSE,1467,AKZOINDIA,Akzo Nobel India
NSE,9925,ALANKIT,Alankit
NSE,17256,ALBERTDAVD,Albert David
NSE,79,ALEMBICLTD,Alembic
NSE,25328,APLLTD,Alembic Pharmaceuticals
NSE,13656,ALICON,Alicon Castalloy
NSE,16963,ALKALI,Alkali Metals
NSE,11703,ALKEM,Alkem Laboratories
NSE,4487,ALKYLAMINE,Alkyl Amines Chemicals
NSE,13203,ALLETEC,All E Technologies
NSE,13501,ALLCARGO,Allcargo Logistics
NSE,14813,ADSL,Allied Digital Services
NSE,11798,ALLSEC,Allsec Technologies
NSE,16719,ALMONDZ,Almondz Global Securities
NSE,17675,ALOKINDS,Alok Industries
NSE,14848,ALPA,Alpa Laboratories
NSE,14597,ALPHAGEO,Alphageo India
NSE,7623,ALPSINDUS,Alps Industries
NSE,100,AMARAJABAT,Amara Raja Batteries
NSE,4083,AMBANIORG,Ambani Organics
NSE,1185,AMBER,Amber Enterprises India
NSE,11499,AMBICAAGAR,Ambica Agarbathies
NSE,15234,AMBIKCO,Ambika Cotton Mill
NSE,1270,AMBUJACEM,Ambuja Cements
NSE,14402,AMDIND,Amd Industries
NSE,10898,AMEYA,Ameya Precision Engineers
NSE,5578,AMIORG,AMI ORGANICS LIMITED
NSE,11939,AMIABLE,Amiable Logistics (India)
NSE,2598,AMJLAND,AMJ Land Holdings
NSE,17547,AMRUTANJAN,Amrutanjan Health Care
NSE,7145,ANANDRATHI,Anand Rathi Wealth
NSE,1581,TARC,Anant Raj Global
NSE,13620,ANANTRAJ,Anant Raj Industries
NSE,15420,ACL,Andhra Cements
NSE,166,ANDHRAPAP,Andhra Paper
NSE,136,ANDHRSUGAR,Andhra Sugars
NSE,5206,ANDREWYU,Andrew Yule and Company
NSE,324,ANGELONE,Angel One
NSE,482,AISL,ANI Integrated Services
NSE,16657,ANIKINDS,Anik Industries
NSE,20453,APCL,Anjani Portland Cement
NSE,13657,ANLON,Anlon Technology Solutions
NSE,3732,ANMOL,Anmol India
NSE,11198,ANNAPURNA,Annapurna Swadisht
NSE,8760,ANSALAPI,Ansal Properties and Infrastructure
NSE,5194,ANTGRAPHIC,Antarctica
